ChanTitle,"""Max""",Mean
Temp@AT_CsaI_3.RN_1,72.32351,72.0807
Temp@AT_IntrclrSn.RN_1,78.57639,78.35988
Temp@AT_FRPSnsr.RN_1,81.05613,80.83641
Temp@AT_MnfldTPSn.RN_1,73.76943,73.53797
Temp@AT_FRSknTmp.RN_1,95.38625,94.97642
Temp@AT_Pvc_Scv.RN_1,71.27005,71.09015
Temp@AT_EGRMtrTmp.RN_1,88.34454,87.64741
Temp@AT_CamSnrBdy.RN_1,1E6,1E6
Temp@AT_FIhI_7.RN_1,77.40738,76.99174
Temp@AT_LPRSi_12.RN_1,68.87151,68.63759
Temp@AT_Con_8.RN_1,72.26992,71.96335
Temp@AT_OCT_3.RN_1,81.34801,80.58226
Temp@AT_OCT_4.RN_1,85.96767,85.13716
Temp@Ex_8.RN_1,157.834,154.9827
Temp@Ex_9.RN_1,134.6537,133.9468
Temp@Ex_10.RN_1,137.3006,136.7914
Temp@Ex_11.RN_1,264.7194,264.406
Temp@Ex_12.RN_1,110.1602,108.816
Temp@Ex_13.RN_1,152.5488,150.6441
Temp@Ex_14.RN_1,109.449,108.6323
Temp@Ex_16.RN_1,160.5427,159.3467
Temp@Ex_6.RN_1,135.7277,134.6061
Temp@Ex_7.RN_1,130.7871,129.5501
CAN_3@EngOilPrs.RN_1,508,503.2693
CAN_3@PosVPFan.RN_1,33.36,33.35252
CAN_3@EngPctLdSpd.RN_1,100,99.9661
CAN_3@EngPowerPct.RN_1,108,107.2731
CAN_3@PrsBaromet.RN_1,99,99
CAN_3@SpdEngine.RN_1,2003,1995.807
CAN_3@T05FuelTmp.RN_1,41,41
CAN_3@TmpAmbient.RN_1,1774.969,1774.969
CAN_3@TmpEngIn.RN_1,25,25
CAN2@TC_23.RN_1,134.6,133.2269
CAN2@ET_1.RN_1,202.2,201.022
CAN2@Ex_2.RN_1,128.8,128.5298
CAN2@Ex_3.RN_1,131.9,131.2454
CAN2@Ex_4.RN_1,125.1,124.3927
CAN2@Ex_5.RN_1,111.4,110.8902
CAN2@Ex_15.RN_1,140.7,140.0371
CAN2@TC_111.RN_1,89.1,88.64087
CAN2@EGRAmbientTm.RN_1,133.2,132.4356
CAN2@TempCSMAmbie.RN_1,60.9,60.26234
Can_1@DEFLeveU.RN_1,55.6,55.19172
Can_1@EngineHourU.RN_1,2.10554E8,3.172984E6
Can_1@FuelRatU.RN_1,104.15,103.617
Can_1@IntkMfldTmU.RN_1,78.0625,77.85535
Can_1@P01InManPrU.RN_1,222,220.0113
Can_1@P03FuelPrU.RN_1,40,38.25235
Can_1@P04OilPrU.RN_1,508,503.2693
Can_1@P99BaromPrU.RN_1,99,99
Can_1@T04CoolTmU.RN_1,90.6875,90.38889
Can_1@T05FuelTmU.RN_1,41,41
Can_1@TAmbAirTmU.RN_1,25,25
Can_1@TmpDEFTnU.RN_1,27,26.08286
Can_1@V_EngBrkTorU.RN_1,2126,2114.629
Can_1@V_GovRefSpU.RN_1,2000,2000
Can_1@V_PerLdCrtSU.RN_1,100,99.9548
Can_1@WtrPmpInlPrU.RN_1,102,97.70621
Can_1@X01EngineSp.RN_1,2002.75,1996.006
Can_1@AddrClaim.RN_1,4.29497E9,4.29497E9
