ChanTitle,"""Max""",Mean
Temp@AT_NoXMdHsng.RN_1,53.85786,53.64803
Temp@AT_NoXMdCntr.RN_1,53.32087,52.94148
Temp@AT_NoXSnrGrm.RN_1,111.4126,110.9833
Temp@AT_NoXSnPbHx.RN_1,439.4355,439.1565
Temp@AT_ATD_1.RN_1,86.53159,85.88633
Temp@AT_ATD_2.RN_1,106.3986,100.7053
Temp@AT_ATD_3.RN_1,65.12334,64.74088
Temp@AT_ATD_4.RN_1,78.32648,77.94045
Temp@AT_ATD_5.RN_1,185.8036,184.3949
Temp@AT_EOT_1.RN_1,92.01408,91.46495
Temp@AT_EOT_2.RN_1,126.228,125.7097
Temp@AT_OCT_1.RN_1,124.4198,123.1241
Temp@AT_OCT_2.RN_1,143.6517,143.1189
Temp@AT_InLtFLSns.RN_1,37.03618,36.44018
Temp@AT_EOT_3.RN_1,93.34724,92.03452
Temp@AT_EOT_4.RN_1,136.923,136.2632
Temp@AT_GrlScrTmp.RN_1,33.22695,32.89484
Temp@AT_TmpMdlWir.RN_1,64.3966,63.29761
Temp@AT_TmpMdlGrm.RN_1,66.44127,65.61253
Temp@AT_TmpMdlBdy.RN_1,53.1189,52.82979
Temp@AT_DbAmtArea.RN_1,70.5619,70.24677
Temp@AT_AltAmb.RN_1,70.94833,70.4149
Temp@AT_AC1b.RN_1,67.4556,67.13077
Temp@AT_ClntTmpSn.RN_1,89.15398,88.7489
Temp@AT_EGRTmpSns.RN_1,75.35847,74.96759
Temp@AT_FRPRlfVlv.RN_1,81.43877,81.09725
Temp@AT_OCVSrf_2.RN_1,77.09182,76.51372
Temp@AT_AltSrf.RN_1,73.97421,73.74126
Temp@AT_AcAlt_1a.RN_1,74.00716,73.66418
Temp@AT_CsaI_3.RN_1,75.71474,75.44781
Temp@AT_IntrclrSn.RN_1,79.64972,79.35323
Temp@AT_FRPSnsr.RN_1,83.13744,82.92191
Temp@AT_MnfldTPSn.RN_1,76.19396,75.86472
Temp@AT_FRSknTmp.RN_1,96.03729,95.67941
Temp@AT_Pvc_Scv.RN_1,72.89243,72.66232
Temp@AT_EGRMtrTmp.RN_1,91.11137,90.57149
Temp@AT_CamSnrBdy.RN_1,1E6,1E6
Temp@AT_FIhI_7.RN_1,79.82465,79.40076
Temp@AT_LPRSi_12.RN_1,72.54532,72.34666
Temp@AT_Con_8.RN_1,75.79653,75.50376
Temp@AT_OCT_3.RN_1,83.21083,82.69305
Temp@AT_OCT_4.RN_1,88.15459,87.51901
Temp@Ex_8.RN_1,164.6247,162.4066
Temp@Ex_9.RN_1,141.4131,140.6577
Temp@Ex_10.RN_1,143.7296,143.1481
Temp@Ex_11.RN_1,269.2468,268.9444
Temp@Ex_12.RN_1,112.4143,111.506
Temp@Ex_13.RN_1,157.7913,156.4856
Temp@Ex_14.RN_1,113.6276,112.949
Temp@Ex_16.RN_1,164.7505,163.8342
Temp@Ex_6.RN_1,137.9709,137.0202
Temp@Ex_7.RN_1,138.1298,136.6597
CAN_3@EngOilPrs.RN_1,480,473.0799
CAN_3@PosVPFan.RN_1,33.36,33.34624
CAN_3@EngPctLdSpd.RN_1,100,100
CAN_3@EngPowerPct.RN_1,115,113.4553
CAN_3@PrsBaromet.RN_1,99,99
CAN_3@SpdEngine.RN_1,1810,1796.447
CAN_3@T05FuelTmp.RN_1,41,41
CAN_3@TmpAmbient.RN_1,1774.969,1774.969
CAN_3@TmpEngIn.RN_1,25,25
CAN2@TC_23.RN_1,138.3,137.1294
CAN2@ET_1.RN_1,207.6,206.607
CAN2@Ex_2.RN_1,134.1,133.7451
CAN2@Ex_3.RN_1,137.6,136.8653
CAN2@Ex_4.RN_1,129.3,128.6813
CAN2@Ex_5.RN_1,113.8,113.2717
CAN2@Ex_15.RN_1,143,142.4965
CAN2@TC_111.RN_1,94.1,93.62556
CAN2@EGRAmbientTm.RN_1,140.4,139.7284
CAN2@TempCSMAmbie.RN_1,62.1,61.47396
Can_1@DEFLeveU.RN_1,37.2,35.94888
Can_1@EngineHourU.RN_1,2.10554E8,8.073138E6
Can_1@FuelRatU.RN_1,107.5,105.9991
Can_1@IntkMfldTmU.RN_1,77.6875,77.44399
Can_1@P01InManPrU.RN_1,250,248.0224
Can_1@P03FuelPrU.RN_1,40,38.3131
Can_1@P04OilPrU.RN_1,480,473.0799
Can_1@P99BaromPrU.RN_1,99,99
Can_1@T04CoolTmU.RN_1,94.125,93.78614
Can_1@T05FuelTmU.RN_1,41,41
Can_1@TAmbAirTmU.RN_1,25,25
Can_1@TmpDEFTnU.RN_1,28,27.51118
Can_1@V_EngBrkTorU.RN_1,2472,2442.866
Can_1@V_GovRefSpU.RN_1,2000,2000
Can_1@V_PerLdCrtSU.RN_1,100,100
Can_1@WtrPmpInlPrU.RN_1,102,98.67412
Can_1@X01EngineSp.RN_1,1809.25,1796.921
Can_1@AddrClaim.RN_1,4.29497E9,4.29497E9
