ChanTitle,"""Max""",Mean,"""Min""",SDev
Temp@AT_ETC_4.RN_1,76.21728,75.93176,75.56419,0.1290843
Temp@AT_TC_4.RN_1,167.4552,166.1473,164.6067,0.6475917
Temp@AT_TC_6.RN_1,189.6493,188.4321,187.6528,0.3925398
Temp@AT_TC_7.RN_1,240.5788,235.5528,231.9957,1.618508
Temp@AT_TC_8.RN_1,253.4124,251.5596,250.0011,0.6957462
Temp@AT_TC_9.RN_1,90.0052,89.33102,88.76167,0.257365
Temp@AT_TC_13.RN_1,250.692,249.1783,247.8967,0.5215151
Temp@AT_TC_17.RN_1,220.7586,219.7196,218.9251,0.3673292
Temp@AT_TC_18.RN_1,312.2826,310.6681,309.1276,0.7649292
Temp@AT_TC_19.RN_1,167.1578,165.7824,164.5841,0.6628401
Temp@AT_TC_20.RN_1,204.4722,203,201.6621,0.7481461
Temp@BckPlateAmb.RN_1,147.1071,146.4317,145.9221,0.252088
Temp@AT_TC_21.RN_1,180.772,179.8961,178.7082,0.3670906
Temp@TurCompHoTmp.RN_1,154.7589,154.3117,153.8663,0.1643936
Temp@AT_TC_24.RN_1,116.0571,115.4302,114.5431,0.257048
Temp@AT_TC_16.RN_1,138.6637,137.8684,136.9615,0.2712505
Temp@AT_TC_22.RN_1,86.99013,86.45634,85.83699,0.2037272
Temp@AT_NoXWrLead.RN_1,71.47018,71.15007,70.81989,0.1160255
Temp@AT_DPSnsrBC.RN_1,48.06566,47.53923,46.98264,0.1457132
Temp@AT_DMPigtlLd.RN_1,58.25512,56.61489,55.18809,0.5732512
Temp@AT_DMCnnctr.RN_1,54.29525,53.99436,53.62318,0.1221701
Temp@AT_NoXMdHsng.RN_1,53.85786,53.64803,53.39159,0.1067917
Temp@AT_NoXMdCntr.RN_1,53.32087,52.94148,52.61624,0.1226881
Temp@AT_NoXSnrGrm.RN_1,111.4126,110.9833,110.6382,0.1872762
Temp@AT_NoXSnPbHx.RN_1,439.4355,439.1565,438.8726,0.1070275
Temp@AT_ATD_1.RN_1,86.53159,85.88633,85.48611,0.1651947
Temp@AT_ATD_2.RN_1,106.3986,100.7053,96.26147,1.886466
Temp@AT_ATD_3.RN_1,65.12334,64.74088,64.3567,0.1529137
Temp@AT_ATD_4.RN_1,78.32648,77.94045,77.55145,0.1497225
Temp@AT_ATD_5.RN_1,185.8036,184.3949,183.1438,0.4159598
Temp@AT_EOT_1.RN_1,92.01408,91.46495,90.79086,0.1967086
Temp@AT_EOT_2.RN_1,126.228,125.7097,125.1548,0.2470579
Temp@AT_OCT_1.RN_1,124.4198,123.1241,122.0465,0.4163374
Temp@AT_OCT_2.RN_1,143.6517,143.1189,142.315,0.2718784
Temp@AT_InLtFLSns.RN_1,37.03618,36.44018,35.9546,0.2119131
Temp@AT_EOT_3.RN_1,93.34724,92.03452,90.51935,0.5129607
Temp@AT_EOT_4.RN_1,136.923,136.2632,135.4795,0.3034756
Temp@AT_GrlScrTmp.RN_1,33.22695,32.89484,32.58124,0.1174478
Temp@AT_TmpMdlWir.RN_1,64.3966,63.29761,62.42516,0.359594
Temp@AT_TmpMdlGrm.RN_1,66.44127,65.61253,65.01255,0.2684792
Temp@AT_TmpMdlBdy.RN_1,53.1189,52.82979,52.55859,0.1083188
Temp@AT_DbAmtArea.RN_1,70.5619,70.24677,69.85838,0.1335167
Temp@AT_AltAmb.RN_1,70.94833,70.4149,69.9228,0.2543831
Temp@AT_AC1b.RN_1,67.4556,67.13077,66.66175,0.1564815
Temp@AT_ClntTmpSn.RN_1,89.15398,88.7489,88.36189,0.1321911
Temp@AT_EGRTmpSns.RN_1,75.35847,74.96759,74.59493,0.1674474
Temp@AT_FRPRlfVlv.RN_1,81.43877,81.09725,80.78468,0.1152221
Temp@AT_OCVSrf_2.RN_1,77.09182,76.51372,76.04264,0.2130738
Temp@AT_AltSrf.RN_1,73.97421,73.74126,73.46339,0.1037772
Temp@AT_AcAlt_1a.RN_1,74.00716,73.66418,73.37827,0.1087005
Temp@AT_CsaI_3.RN_1,75.71474,75.44781,75.13519,0.09674139
Temp@AT_IntrclrSn.RN_1,79.64972,79.35323,79.05313,0.08109402
Temp@AT_FRPSnsr.RN_1,83.13744,82.92191,82.59639,0.08295815
Temp@AT_MnfldTPSn.RN_1,76.19396,75.86472,75.57117,0.09274515
Temp@AT_FRSknTmp.RN_1,96.03729,95.67941,95.30787,0.1125869
Temp@AT_Pvc_Scv.RN_1,72.89243,72.66232,72.43404,0.07350143
Temp@AT_EGRMtrTmp.RN_1,91.11137,90.57149,89.94157,0.201594
Temp@AT_CamSnrBdy.RN_1,1E6,1E6,1E6,0
Temp@AT_FIhI_7.RN_1,79.82465,79.40076,78.83259,0.1795669
Temp@AT_LPRSi_12.RN_1,72.54532,72.34666,72.14836,0.0738786
Temp@AT_Con_8.RN_1,75.79653,75.50376,75.05714,0.1171942
Temp@AT_OCT_3.RN_1,83.21083,82.69305,82.34851,0.1617566
Temp@AT_OCT_4.RN_1,88.15459,87.51901,86.80323,0.2645264
Temp@Ex_8.RN_1,164.6247,162.4066,160.2474,0.741119
Temp@Ex_9.RN_1,141.4131,140.6577,139.8513,0.3255307
Temp@Ex_10.RN_1,143.7296,143.1481,142.7173,0.1796028
Temp@Ex_11.RN_1,269.2468,268.9444,268.5981,0.1129523
Temp@Ex_12.RN_1,112.4143,111.506,110.5018,0.3458575
Temp@Ex_13.RN_1,157.7913,156.4856,155.2332,0.4495507
Temp@Ex_14.RN_1,113.6276,112.949,112.3101,0.2604257
Temp@Ex_16.RN_1,164.7505,163.8342,162.8391,0.3153658
Temp@Ex_6.RN_1,137.9709,137.0202,135.9088,0.3722493
Temp@Ex_7.RN_1,138.1298,136.6597,135.3808,0.4941688
CAN_3@EngOilPrs.RN_1,480,473.0799,464,3.157216
CAN_3@PosVPFan.RN_1,33.36,33.34624,33.33,0.009267741
CAN_3@EngPctLdSpd.RN_1,100,100,100,0
CAN_3@EngPowerPct.RN_1,115,113.4553,111,1.228493
CAN_3@PrsBaromet.RN_1,99,99,99,0
CAN_3@SpdEngine.RN_1,1810,1796.447,1784.25,6.856623
CAN_3@T05FuelTmp.RN_1,41,41,41,0
CAN_3@TmpAmbient.RN_1,1774.969,1774.969,1774.969,0
CAN_3@TmpEngIn.RN_1,25,25,25,0
CAN2@TC_23.RN_1,138.3,137.1294,135.8,0.4377746
CAN2@ET_1.RN_1,207.6,206.607,205.3,0.3684108
CAN2@Ex_2.RN_1,134.1,133.7451,133.4,0.1492906
CAN2@Ex_3.RN_1,137.6,136.8653,136,0.264478
CAN2@Ex_4.RN_1,129.3,128.6813,128,0.214332
CAN2@Ex_5.RN_1,113.8,113.2717,112.6,0.2648155
CAN2@Ex_15.RN_1,143,142.4965,141.9,0.1898726
CAN2@TC_111.RN_1,94.1,93.62556,93.1,0.2583359
CAN2@EGRAmbientTm.RN_1,140.4,139.7284,139.1,0.3545228
CAN2@TempCSMAmbie.RN_1,62.1,61.47396,60.8,0.2375393
Can_1@DEFLeveU.RN_1,37.2,35.94888,34.8,0.620869
Can_1@EngineHourU.RN_1,2.10554E8,8.073138E6,810.8,4.046118E7
Can_1@FuelRatU.RN_1,107.5,105.9991,104.65,0.7843949
Can_1@IntkMfldTmU.RN_1,77.6875,77.44399,77.1875,0.09334917
Can_1@P01InManPrU.RN_1,250,248.0224,248,0.2104734
Can_1@P03FuelPrU.RN_1,40,38.3131,36,1.97692
Can_1@P04OilPrU.RN_1,480,473.0799,464,3.157216
Can_1@P99BaromPrU.RN_1,99,99,99,0
Can_1@T04CoolTmU.RN_1,94.125,93.78614,93.3125,0.132256
Can_1@T05FuelTmU.RN_1,41,41,41,0
Can_1@TAmbAirTmU.RN_1,25,25,25,0
Can_1@TmpDEFTnU.RN_1,28,27.51118,27,0.5002747
Can_1@V_EngBrkTorU.RN_1,2472,2442.866,2417,12.93385
Can_1@V_GovRefSpU.RN_1,2000,2000,2000,0
Can_1@V_PerLdCrtSU.RN_1,100,100,100,0
Can_1@WtrPmpInlPrU.RN_1,102,98.67412,94,1.284692
Can_1@X01EngineSp.RN_1,1809.25,1796.921,1783.5,7.044514
Can_1@AddrClaim.RN_1,4.29497E9,4.29497E9,4.29497E9,0
